               epoch              jyear num_dets_common num_dets_legonly num_dets_sinonly
-------------------- ------------------ --------------- ---------------- ----------------
     20170507nirc2_h 2017.3471832215728            36.0              8.0             11.0
     20170813nirc2_h   2017.61471701961            26.0              9.0              6.0
20170823_0826nirc2_h 2017.6472084005022            19.0              4.0             11.0
     20180317nirc2_h 2018.2070805663852            21.0             14.0             14.0
     20180322nirc2_h 2018.2207284350804            10.0              3.0              4.0
     20180330nirc2_h 2018.2426521523848            14.0              5.0              8.0
     20180519nirc2_h 2018.3793156991383             0.0              1.0              1.0
     20180524nirc2_h 2018.3929624490713             7.0              3.0              4.0
     20180903nirc2_h  2018.671480976873            14.0              7.0              5.0
